ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
COLEGIO PARTICULAR MIXTO INTEGRAL EL SABER,06-14-0025-46,06-023,SANTA ROSA,NUEVA SANTA ROSA,11 CALLE 1-11 ZONA 1,78889100,CESAR EFRAIN BARRERA Y BARRERA,MARTA LIDIA FLORES AUCEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,"COLEGIO PARTICULAR MIXTO INTEGRAL ""EL SABER"""
COLEGIO PARTICULAR MIXTO INTEGRAL JOSHUA,22-05-0053-46,22-016,JUTIAPA,ASUNCION MITA,"CASA NO. 27, BARRIO LA FEDERAL",,LESVIA YADIRA OLIVA TEO DE ALDANA,GAUDY YADIRA IXCHOP AMBROCIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO PARTICULAR MIXTO INTEGRAL JOSHUA
COLEGIO PARTICULAR MIXTO JERUSALEM,"12-01-0144-46, 12-01-0186-46, 12-01-0191-46",12-063,SAN MARCOS,SAN MARCOS,"5A. CALLE 9-38 ZONA 4, 5TA. CALLE 9-38 ZONA 4","77609611, 77609649",HELIUV EDILZAR VASQUEZ NAVARRO,DELIA MAEGLI DE LEÓN OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM"""
COLEGIO PARTICULAR MIXTO KAIROS,"16-10-0062-46, 16-10-0063-46, 16-10-0072-46",16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,"0 AVENIDA 1A CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO, 0 AVENIDA 1A. CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO, 1ERA. CALLE 0-02 ZONA 4",79500460,EDUARDO YALIBAT,EDWIN NAZARETH MELÉNDEZ FERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,"BILINGUE, MONOLINGUE","DOBLE, MATUTINA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",ALTA VERAPAZ,COLEGIO PARTICULAR MIXTO KAIROS
COLEGIO PARTICULAR MIXTO LA ENSEANZA,"05-02-0109-46, 05-02-0129-46, 06-14-0001-46, 06-14-1996-46","05-007, 06-023","ESCUINTLA, SANTA ROSA","NUEVA SANTA ROSA, SANTA LUCIA COTZUMALGUAPA","1A. CALLE 3-67 ZONA 1, 1RA. CALLE 3-67 ZONA 1, AV. TEOFILO SOLARES 0-50 ZONA 2, AVENIDA TEÓFILIO SOLARES 0-50 ZONA 2","50569370, 78822044","CESAR EFRAIN BARRERA Y BARRERA, JUAN FRANCISCO GODOY DAVILA","PABLO BENJAMIN MATEO MOREIRA, RAFAELA SÁNCHEZ GARCÍA",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA","ESCUINTLA, SANTA ROSA","COLEGIO PARTICULAR MIXTO ""LA ENSEÑANZA"", COLEGIO PARTICULAR MIXTO ""LA ESPERANZA"""
COLEGIO PARTICULAR MIXTO LA FAMILIA,"12-13-0057-46, 12-13-0068-46, 12-13-0071-46, 12-13-0072-46, 12-13-0083-46, 12-13-0090-46",12-088,SAN MARCOS,EL TUMBADOR,"4A. CALLE 3-36 ZONA 1 BARRIO LOS TRES REYES, 4TA. CALLE 3-36 ZONA 1 BARRIO LOS TRES REYES, 4TA. CALLE 3-36 ZONA 1, BARRIO LOS TRES REYES, 4TA. CALLE 3-36, ZONA 1, BARRIO LOS TRES REYES","55394962, 77606256",ELIAS NOÉ REYNA DE LEÓN,OMAR ENRIQUE BARRIOS LONGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",SAN MARCOS,COLEGIO PARTICULAR MIXTO LA FAMILIA
COLEGIO PARTICULAR MIXTO LA ILUSTRACION,"10-01-0095-46, 10-01-0303-46, 10-01-0426-46, 10-01-1168-46",10-018,SUCHITEPEQUEZ,MAZATENANGO,"3A AVE 4-92, ZONA 1, 3A AVE. 4-92 ZONA 1, 3A. AV. 4-92 ZONA 1, 3A. AVENIDA 4-92 ZONA 1",41639696,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MARÍA ELENA ROCHA NAVARRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, VESPERTINA","DIARIO(REGULAR), VIRTUAL A DISTANCIA",SUCHITEPÉQUEZ,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION"""
COLEGIO PARTICULAR MIXTO LA SAGRADA FAMILIA,"21-07-0097-46, 21-07-0124-46, 21-07-0933-46, 21-07-1416-46","21-018, 21-019, 21-020",JALAPA,MATAQUESCUINTLA,"3A. CALLE 6-04 ZONA 2 CANTON CALVARIO, 3A. CALLE 6-04 ZONA 2 CANTÓN CALVARIO, 3RA. CALLE 6-04 ZONA 2","30640255, 79242042","IDALIA OLINA GONZALEZ REYES, MARIA FERNANDA AGUILAR REYES, MARIO LEONEL SANDOVAL MARTINEZ",AMILCAR PEREZ RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, NOCTURNA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",JALAPA,"COLEGIO PARTICULAR MIXTO ""LA SAGRADA FAMILIA"""
COLEGIO PARTICULAR MIXTO LIC. HECTOR ARTURO CARPIO ESCOBAR,18-02-0291-46,18-017,IZABAL,LIVINGSTON,ALDEA GUITARRAS,40629261,LEYVIMARLOT ENRIQUEZ ESPINOSA,JAVIER ICAL CHÉN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,COLEGIO PARTICULAR MIXTO LIC. HECTOR ARTURO CARPIO ESCOBAR
COLEGIO PARTICULAR MIXTO LICEO CRISTIANO ZACAPANECO,19-01-0160-46,19-019,ZACAPA,ZACAPA,12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,79410316,HUGO WILFREDO VARGAS CHACON,LUCY RAQUEL APARICIO ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,"COLEGIO PARTICULAR MIXTO ""LICEO CRISTIANO ZACAPANECO"""
COLEGIO PARTICULAR MIXTO LICEO ESTANZUELA,"22-11-0063-46, 22-11-0075-46, 22-11-0083-46, 22-11-0094-46",22-028,JUTIAPA,COMAPA,ALDEA ESTANZUELA,"53421606, 53898556",EMERSON RAUL ORTIZ LOPEZ,SULVIA ALEJANDRA CORADO ASENCIO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JUTIAPA,"COLEGIO PARTICULAR MIXTO ""LICEO ESTANZUELA"", COLEGIO PARTICULAR MIXTO LICEO ESTANZUELA"
COLEGIO PARTICULAR MIXTO LICEO JALAPA,"21-01-0106-46, 21-01-0274-46, 21-01-0329-46, 21-01-0359-46, 21-01-0397-46",21-004,JALAPA,JALAPA,"CALLE TRANSITO ROJAS 7-60 ZONA 1, CALLE TRANSITO ROJAS 7-60, ZONA 1, BARRIO LA DEMOCRACIA, CALLE TRÁNSITO ROJAS 7-60 ZONA 1, BARRIO LA DEMOCRACIA, CALLE TRÁNSITO ROJAS 7-79 ZONA 1 BARRIO LA DEMOCRACIA, CALLE TRÁNSITO ROJAS 7-79, ZONA 1 BARRIO LA DEMOCRACIA",79220013,VICTOR MANUEL PORTILLO RECINOS,"EFRAÍN DE JESÚS SALAZAR PERALTA, LESLY PRISCILA CARRERA RUÍZ",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, NOCTURNA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA"", COLEGIO PARTICULAR MIXTO LICEO JALAPA"
COLEGIO PARTICULAR MIXTO LICEO MONJAS,21-06-1131-46,21-003,JALAPA,MONJAS,BARRIO LA REFORMA,79247374,IRIS VICTORIA TEO ORELLANA,PATRICIA ELVIRA LOBOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,COLEGIO PARTICULAR MIXTO LICEO MONJAS
COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,"21-01-0111-46, 21-01-0336-46, 21-01-0417-46",21-004,JALAPA,JALAPA,"1A. CALLE ""A"" ZONA 3 RESIDENCIALES NUEVA JERUSALEN, 1RA. CALLE ""A"" RESIDENCIALES NUEVA JERUSALEM, 1RA. CALLE A ZONA 3, RESIDENCIALES NUEVA JERUSALEN","42510206, 50000098, 79222186",VICTOR MANUEL PORTILLO RECINOS,"JORGE MARIO AQUINO MAZARIEGOS, NILSA MAGALY CORDERO GUDIEL",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO NUEVO MILENIO"", COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO"
COLEGIO PARTICULAR MIXTO LICEO PROGRESO,"22-02-0017-46, 22-02-0026-46, 22-02-1434-46, 22-02-2087-46",22-037,JUTIAPA,EL PROGRESO,"CALZADA LA PAZ, CALZADA LA PAZ, BARRIO EL BOSQUE","78435751, 78455751",SANDRA NINNETH BONILLA ARCHILA,NELDA JUDITH PALMA ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JUTIAPA,"COLEGIO PARTICULAR MIXTO ""LICEO PROGRESO"", COLEGIO PARTICULAR MIXTO LICEO PROGRESO"
COLEGIO PARTICULAR MIXTO LICEO SAN LUIS,"21-03-0026-46, 21-03-0040-46, 21-03-0043-46, 21-03-0044-46",21-011,JALAPA,SAN LUIS JILOTEPEQUE,BARRIO EL CALVARIO,45258219,ALBA LUZ CRISTINA AGUSTIN MANUEL,JACKELINE JOHANNA ESTEBAN MARTÍNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO SAN LUIS"""
COLEGIO PARTICULAR MIXTO LUTERANO INTEGRAL LA RESURRECCIN,19-04-0065-46,19-009,ZACAPA,GUALAN,BARRIO LAS FLORES,79331330,JENNIFER MARIA BARRIENTOS CHACON,LUIS ALBERTO JASINTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,"COLEGIO PARTICULAR MIXTO LUTERANO INTEGRAL ""LA RESURRECCIÓN"""
COLEGIO PARTICULAR MIXTO MATAS DE GLVEZ,"18-01-0286-46, 18-01-0320-46, 18-01-0465-46","18-005, 18-008",IZABAL,PUERTO BARRIOS,"COLONIA PIEDRAS NEGRAS, COLONIA PIEDRAS NEGRAS, ALDEA SANTO TOMAS DE CASTILLA, COLONIA PIEDRAS NEGRAS, ALDEA SANTO TOMÁS DE CASTILLA","50157184, 56142325","ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA, ROSMERY YOHANA GARCIA ESQUIVEL",SINDY MARISOL NUÑEZ VALIENTE,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",IZABAL,"COLEGIO PARTICULAR MIXTO ""MATÍAS DE GÁLVEZ"", COLEGIO PARTICULAR MIXTO MATIAS DE GALVEZ"
COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS,"06-11-0470-46, 11-07-0219-46, 18-01-0359-46, 18-01-0442-46, 18-01-1134-46","06-037, 11-022, 18-008","IZABAL, RETALHULEU, SANTA ROSA","CHAMPERICO, GUAZACAPAN, PUERTO BARRIOS","11 CALLE 10 Y 11 AVENIDAS, 11 CALLE ENTRE 10 Y 11 AVENIDAS, 11 CALLE Y 10 Y 11 AVENIDAS, BARRIO SAN MIGUEL, BARRIO SAN MIGUEL CENTRO","31201727, 78846250, 79481153, 79486905","ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA, IDANEA MARIBEL MORALES MIJANGOS DE HERNANDEZ, JOSSELINE CECILIA MORÁN LÓPEZ","ANGEL HUMBERTO CRÚZ MALDONADO, LUBIA JUDITH ORELLANA SALAS, TESLA AYDÉ AYALA PAZOS",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)","IZABAL, RETALHULEU, SANTA ROSA","COLEGIO PARTICULAR MIXTO ""MIGUEL ANGEL ASTURIAS"", COLEGIO PARTICULAR MIXTO MIGUEL ANGEL ASTURIAS"
COLEGIO PARTICULAR MIXTO MIGUEL NGEL ASTURIAS,18-01-1025-46,18-008,IZABAL,PUERTO BARRIOS,11 CALLE ENTRE 10 Y 11 AVENIDA,79481153,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LUBIA JUDITH ORELLANA SALAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,"COLEGIO PARTICULAR MIXTO ""MIGUEL ÁNGEL ASTURIAS"""
COLEGIO PARTICULAR MIXTO MINERVA,"18-04-0016-46, 18-04-0170-46, 21-06-0806-46","18-039, 21-003","IZABAL, JALAPA","MONJAS, MORALES","ALDEA PLAYITAS, BARRIO LA REFORMA","31089418, 31089418-53230377, 42120887","ELSA YADIRA MARTINEZ PEREZ, IRIS VICTORIA TEO ORELLANA","KATHERINE YANINA GALEANO ARCHILA, KELVIN RODRIGO HERNANDEZ MARTINEZ, OTONIEL LÓPEZ GARNICA",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA",DIARIO(REGULAR),"IZABAL, JALAPA","COLEGIO PARTICULAR MIXTO ""LICEO MINERVA"", COLEGIO PARTICULAR MIXTO ""MINERVA"", COLEGIO PARTICULAR MIXTO MINERVA"
COLEGIO PARTICULAR MIXTO MONTE SION,22-17-2459-46,22-028,JUTIAPA,QUESADA,BARRIO LA UNION,59456911,EMERSON RAUL ORTIZ LOPEZ,IRMA LILLY JIMENEZ MEDRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO PARTICULAR MIXTO MONTE SION
COLEGIO PARTICULAR MIXTO MONTEOLIVO,"21-05-0033-46, 21-05-0052-46",21-009,JALAPA,SAN CARLOS ALZATATE,"BARRIO ENTRE RIOS, BARRIO ENTRE RÍOS","33401179, 40741805",AMARILIS NOHEMI MENDEZ MATEO,MAYNOR ANTONIO GOMEZ MENDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JALAPA,"COLEGIO PARTICULAR MIXTO ""MONTEOLIVO"""
COLEGIO PARTICULAR MIXTO MUNDO JUVENIL,"18-02-0280-46, 18-02-0281-46, 18-02-0351-46, 18-02-0382-46, 18-02-0383-46, 18-02-0417-46",18-017,IZABAL,LIVINGSTON,"ALDEA FRONTERAS RIO DULCE, BARRIO EL TALLER FRONTERAS ALDEA FRONTERAS, BARRIO EL TALLER FRONTERAS, ALDEA FRONTERAS, BARRIO EL TALLER, ALDEA FRONTERAS RIO DULCE, BARRIO SAN MIGUEL, ALDEA FRONTERAS, RIO DULCE","31353400, 37472007, 79305318",LEYVIMARLOT ENRIQUEZ ESPINOSA,"RAFAEL ELVIN RETANA, RAFAEL ELVIN RETANA CRUZ",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, NOCTURNA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",IZABAL,COLEGIO PARTICULAR MIXTO MUNDO JUVENIL
COLEGIO PARTICULAR MIXTO NIHAIB,"12-17-0031-46, 12-17-5373-46",12-080,SAN MARCOS,AYUTLA,5A. CALLE ENTRE 5A. Y 6A. AVENIDA ZONA 1,40531150,RAMIRO ARMANDO OCHOA MALDONADO,IRVIN CERVANDO PÉREZ MONZÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"NOCTURNA, VESPERTINA",DIARIO(REGULAR),SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""NIHAIB"", COLEGIO PARTICULAR MIXTO NIHAIB"
COLEGIO PARTICULAR MIXTO NUESTRA SEORA DE CONCEPCIN,"05-13-0067-46, 05-13-0068-46, 05-13-0108-46, 22-11-0067-46, 22-11-0068-46, 22-11-0091-46","05-019, 22-022","ESCUINTLA, JUTIAPA","COMAPA, NUEVA CONCEPCION","BARRIO CATOLICO, BARRIO CATÓLICO, LOTE 120 A CALLE PANAMÁ, LOTE 57 AVENIDA FRAY MATIAS DE CORDOVA","33764307, 55103092","JAIME ANTULIO ESTRADA SOTO, JULIO RENE HERNANDEZ GONZALEZ","ELIZANDRO BATÉN MARTÍNEZ, LADIMIRO URIAS RAMIREZ, MARIELA ELIZABETH CHACON RIVERA",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA), SEMIPRESENCIAL (UN DÍA A LA SEMANA)","ESCUINTLA, JUTIAPA","COLEGIO PARTICULAR MIXTO ""NUESTRA SEÑORA DE CONCEPCIÓN"", COLEGIO PARTICULAR MIXTO NUESTRA SEÑORA DE CONCEPCION, COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DE CONCEPCION, COLEGIO PRIVADO MIXTO NUESTRA SEÑORA DE CONCEPCIÓN"
COLEGIO PARTICULAR MIXTO NUEVO AMANECER,"15-02-0117-46, 15-02-0119-46, 15-02-0138-46, 15-04-0670-46, 22-12-0059-46","15-029, 15-034, 22-029","BAJA VERAPAZ, JUTIAPA","CUBULCO, JALPATAGUA, SAN MIGUEL CHICAJ","3A. CALLE 1-36 ZONA 2, ALDEA SAN GABRIEL, ALDEA SAN GABRIEL PANTZUJ, BARRIO MAGDALENA","42559525, 77564472, 79540241","CARLOS ALBERTO LOPEZ ARCHILA, HUGO MAURICIO MORALES MORALES, WILSON ESTUARDO CANAHUI JA","BYRON JOSÉ ALVARADO CABRERA, RONALDO MORALES SIS, SANDRA ELIZABETH GRAMAJO BARRERA",DIVERSIFICADO,PRIVADO,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)","BAJA VERAPAZ, JUTIAPA","COLEGIO PARTICULAR MIXTO ""NUEVO AMANECER"", COLEGIO PARTICULAR MIXTO NUEVO AMANECER"
COLEGIO PARTICULAR MIXTO NUEVO AMANECER (POR MADUREZ),22-12-2271-46,22-029,JUTIAPA,JALPATAGUA,3A. CALLE 3-29 ZONA 1,77564472,CARLOS ALBERTO LOPEZ ARCHILA,SANDRA ELIZABETH GRAMAJO BARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA,COLEGIO PARTICULAR MIXTO NUEVO AMANECER (POR MADUREZ)
COLEGIO PARTICULAR MIXTO OSCAR DE LEN PALACIOS,"21-01-0369-46, 21-01-0407-46, 21-01-0437-46",21-004,JALAPA,JALAPA,"LOTES 6F, 7F, 159F Y 160F LOTIFICACIÓN LOS EUCALIPTOS, LOTES 6F, 7F, 159F Y 160F, LOTIFICACIÓNLOS EUCALIPTOS, LOTES 6F, 7F, 159F, 160F, LOTIFICACIÓN LOS EUCALIPTOS","56963730, 78220029, 79220029",VICTOR MANUEL PORTILLO RECINOS,LUCERO ZELESTE MORALES CONTRERAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",JALAPA,COLEGIO PARTICULAR MIXTO OSCAR DE LEÓN PALACIOS
COLEGIO PARTICULAR MIXTO PAULO COELHO,"11-01-0167-46, 11-01-0193-46, 11-01-0393-46, 11-01-0476-46","11-004, 11-017",RETALHULEU,RETALHULEU,"5A. AVENIDA 7-55 ZONA 1, 7A. CALLE 4-84, ZONA 1, 9AV. 6TA. CALLE 9-88 ZONA 1","47022982, 77283648",MIGUEL ANGEL ARMAS ROCHA,"EVELYN MARIVEL PÉREZ ENRÍQUEZ, LINDA JASMÍN LÓPEZ AGUILAR, WERNER MISAEL TIPAZ FLORES",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",RETALHULEU,COLEGIO PARTICULAR MIXTO PAULO COELHO
COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS,"18-01-0158-46, 18-01-0162-46, 18-01-0428-46, 18-01-3235-46",18-008,IZABAL,PUERTO BARRIOS,"COLONIA PIEDRAS NEGRAS, SANTO TOMAS DE CASTILLA, COLONIA PIEDRAS NEGRAS, SANTO TOMÁS DE CASTILLA","58368127, 79453597, 79484391-41051885",ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LASTENIA CARÍAS SAMAYOA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",IZABAL,"COLEGIO PARTICULAR MIXTO ""PIEDRAS NEGRAS"", COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS"
COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS,21-01-0233-46,21-004,JALAPA,JALAPA,CALLE TRANSITO ROJAS 8-54 ZONA 2,56963730,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA MARINELLI MARTÍNEZ HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS
COLEGIO PARTICULAR MIXTO PROYECCIN,"20-11-0029-46, 20-11-0030-46, 20-11-0464-46","20-039, 20-041",CHIQUIMULA,IPALA,"1 AVENIDA 1-35 ZONA 5, 1A. AVENIDA 1-35 ZONA 5",79428303,"EDGAR ANIBAL MENENDEZ VELASQUEZ, JUAN DE DIOS MONROY RAMIREZ","AURA GUILLERMINA PÉREZ, AURA GUILLERMINA PÉREZ DE GÁLVAN",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, VESPERTINA",DIARIO(REGULAR),CHIQUIMULA,"COLEGIO PARTICULAR MIXTO ""PROYECCION"", COLEGIO PARTICULAR MIXTO PROYECCIÓN"
COLEGIO PARTICULAR MIXTO PURULH PROFESORA MARA ZOE LPEZ,"15-08-0173-46, 15-08-0220-46",15-021,BAJA VERAPAZ,PURULHA,BARRIO EL CARPINTERO,54269657,PEDRO ARMANDO CASTRO CHOCO,JOSÉ ALFREDO CRUZ SÚN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",BAJA VERAPAZ,COLEGIO PARTICULAR MIXTO PURULHÁ PROFESORA MARÍA ZOE LÓPEZ
COLEGIO PARTICULAR MIXTO RAFAEL ALVAREZ OVALLE,18-01-0385-46,18-008,IZABAL,PUERTO BARRIOS,ALDEA EL COROZO MILLA 4,53444994,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,HEIDY ALEJANDRA ALDANA LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL,"COLEGIO PARTICULAR MIXTO ""RAFAEL ALVAREZ OVALLE"""
COLEGIO PARTICULAR MIXTO RIO DULCE,"18-02-0254-46, 18-02-0255-46, 18-02-0428-46",18-017,IZABAL,LIVINGSTON,ALDEA FRONTERAS RIO DULCE,"58840501, 79305368",LEYVIMARLOT ENRIQUEZ ESPINOSA,RUBÉN DARÍO NOLASCO PÉREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",IZABAL,COLEGIO PARTICULAR MIXTO RIO DULCE
COLEGIO PARTICULAR MIXTO ROSALES,"05-07-0058-46, 05-07-0085-46, 05-14-0050-46","05-012, 05-029",ESCUINTLA,"LA GOMERA, SIPACATE","13 AVE. 3-47, 2A. CALLE A, BARRIO CHIPILAPA INSTALACIONES DEL INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA I.M.E.D. ARISTIDES CRESPO VILLEGAS, 2A. CALLE BARRIO CHIPILAPA","30384604, 42525902","BRENDA YOHANNA GUDIEL LOPEZ DE MUÑOZ, MILVIA MERCEDEZ VASQUEZ MORALES DE VALLADARES","RUTH REBECA ZELAYA JURADO, ZOILA TERESA BATRES VALENZUELA",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (FIN DE SEMANA)",ESCUINTLA,"COLEGIO PARTICULAR MIXTO ""ROSALES"", COLEGIO PARTICULAR MIXTO ROSALES"
